id,no_mask,yes_mask 
01001,0.261,0.739
01003,0.24,0.759
01005,0.308,0.692
01007,0.15,0.85
01009,0.347,0.653
01011,0.215,0.786
01013,0.412,0.588
01015,0.39,0.609
01017,0.304,0.696
01019,0.323,0.678
01021,0.188,0.812
01023,0.213,0.787
01025,0.301,0.698
01027,0.501,0.498
01029,0.414,0.585
01031,0.347,0.652
01033,0.33,0.669
01035,0.41,0.591
01037,0.353,0.647
01039,0.444,0.557
01041,0.35,0.649
01043,0.403,0.596
01045,0.32,0.68
01047,0.354,0.646
01049,0.241,0.759
01051,0.264,0.737
01053,0.328,0.672
01055,0.377,0.623
01057,0.337,0.662
01059,0.359,0.64
01061,0.396,0.603
01063,0.21,0.79
01065,0.171,0.83
01067,0.304,0.696
01069,0.299,0.701
01071,0.291,0.709
01073,0.193,0.807
01075,0.284,0.716
01077,0.353,0.648
01079,0.33,0.67
01081,0.255,0.745
01083,0.269,0.731
01085,0.338,0.663
01087,0.282,0.717
01089,0.235,0.766
01091,0.302,0.698
01093,0.439,0.56
01095,0.268,0.732
01097,0.249,0.75
01099,0.335,0.666
01101,0.274,0.725
01103,0.237,0.763
01105,0.196,0.805
01107,0.26,0.741
01109,0.336,0.663
01111,0.489,0.512
01113,0.216,0.783
01115,0.305,0.695
01117,0.215,0.785
01119,0.241,0.759
01121,0.471,0.53
01123,0.298,0.702
01125,0.221,0.779
01127,0.316,0.685
01129,0.197,0.802
01131,0.358,0.642
01133,0.504,0.495
02013,0.133,0.867
02016,0.139,0.861
02020,0.141,0.859
02050,0.137,0.863
02060,0.127,0.872
02068,0.21,0.79
02070,0.124,0.875
02090,0.353,0.647
02100,0.228,0.771
02105,0.245,0.755
02110,0.251,0.749
02122,0.141,0.859
02130,0.348,0.652
02150,0.134,0.866
02158,0.132,0.868
02164,0.131,0.87
02170,0.141,0.858
02180,0.156,0.844
02185,0.33,0.67
02188,0.274,0.726
02195,0.285,0.714
02198,0.319,0.68
02220,0.262,0.738
02230,0.212,0.789
02240,0.275,0.725
02261,0.141,0.86
02275,0.314,0.686
02282,0.137,0.862
02290,0.217,0.783
04001,0.149,0.851
04003,0.225,0.775
04005,0.189,0.812
04007,0.117,0.883
04009,0.399,0.602
04011,0.367,0.633
04012,0.257,0.743
04013,0.107,0.892
04015,0.251,0.749
04017,0.258,0.741
04019,0.12,0.88
04021,0.184,0.815
04023,0.088,0.911
04025,0.185,0.815
04027,0.067,0.933
05001,0.226,0.773
05003,0.289,0.712
05005,0.362,0.638
05007,0.198,0.803
05009,0.396,0.605
05011,0.371,0.629
05013,0.385,0.615
05015,0.294,0.706
05017,0.371,0.628
05019,0.251,0.749
05021,0.363,0.637
05023,0.194,0.805
05025,0.297,0.703
05027,0.367,0.633
05029,0.328,0.672
05031,0.339,0.661
05033,0.422,0.578
05035,0.186,0.814
05037,0.277,0.723
05039,0.345,0.655
05041,0.301,0.698
05043,0.319,0.682
05045,0.17,0.829
05047,0.473,0.527
05049,0.452,0.548
05051,0.195,0.806
05053,0.252,0.747
05055,0.357,0.643
05057,0.267,0.733
05059,0.224,0.776
05061,0.296,0.705
05063,0.381,0.619
05065,0.34,0.66
05067,0.354,0.647
05069,0.25,0.75
05071,0.452,0.549
05073,0.28,0.72
05075,0.366,0.635
05077,0.33,0.67
05079,0.245,0.755
05081,0.301,0.7
05083,0.378,0.622
05085,0.229,0.771
05087,0.322,0.678
05089,0.402,0.598
05091,0.294,0.706
05093,0.276,0.724
05095,0.323,0.677
05097,0.312,0.687
05099,0.275,0.725
05101,0.331,0.669
05103,0.308,0.691
05105,0.229,0.771
05107,0.247,0.753
05109,0.325,0.677
05111,0.316,0.684
05113,0.477,0.522
05115,0.414,0.587
05117,0.335,0.664
05119,0.181,0.819
05121,0.399,0.6
05123,0.383,0.617
05125,0.264,0.736
05127,0.419,0.581
05129,0.313,0.687
05131,0.42,0.58
05133,0.368,0.632
05135,0.445,0.555
05137,0.269,0.732
05139,0.393,0.606
05141,0.189,0.811
05143,0.163,0.837
05145,0.232,0.768
05147,0.315,0.685
05149,0.328,0.672
06001,0.082,0.918
06003,0.198,0.802
06005,0.157,0.843
06007,0.169,0.83
06009,0.162,0.838
06011,0.15,0.851
06013,0.073,0.927
06015,0.257,0.743
06017,0.142,0.858
06019,0.102,0.897
06021,0.2,0.8
06023,0.066,0.934
06025,0.036,0.964
06027,0.052,0.947
06029,0.155,0.845
06031,0.14,0.86
06033,0.014,0.985
06035,0.294,0.707
06037,0.083,0.917
06039,0.126,0.875
06041,0.057,0.943
06043,0.153,0.847
06045,0.009,0.992
06047,0.151,0.849
06049,0.182,0.819
06051,0.049,0.95
06053,0.095,0.904
06055,0.076,0.922
06057,0.141,0.859
06059,0.09,0.91
06061,0.107,0.894
06063,0.183,0.817
06065,0.081,0.919
06067,0.115,0.886
06069,0.085,0.914
06071,0.097,0.902
06073,0.074,0.926
06075,0.063,0.938
06077,0.154,0.845
06079,0.086,0.914
06081,0.087,0.912
06083,0.11,0.89
06085,0.069,0.932
06087,0.094,0.906
06089,0.222,0.779
06091,0.24,0.76
06093,0.288,0.713
06095,0.124,0.876
06097,0.056,0.944
06099,0.122,0.878
06101,0.169,0.832
06103,0.26,0.74
06105,0.206,0.793
06107,0.179,0.821
06109,0.135,0.865
06111,0.068,0.933
06113,0.052,0.947
